country,country_short,region_wb,pop_log,obesity_m,obesity_f,overw_m,overw_f,BMI_m,BMI_f,flex,indiv,yr_sch_m,yr_sch_f,globaliz,uneven_eco_dev,gdppc_ln,undernourish,rice,mcdonalds,temp_avg,wgi_avg,share_animal_prot,vegies_fruits,hf_efiscore,wdi_emp_agr_m,wdi_emp_ind_m,wdi_emp_ser_m,wdi_emp_agr_f,wdi_emp_ind_f,wdi_emp_ser_f,healthexp_perc_gdp,wdi_popurb_share,wdi_smok_m,wdi_smok_f,indiv_welzel,self_expr_val,emancip_val,autonomy,indiv_hofstd,culture_zone,fi_ftradeint,fh_pair,cool_water_ind,hist_path_load,migr_dist_ea,irrig_dep,relig_imp,secular_rational
Azerbaijan,AZE,Europe and Central Asia,16.08240018082785,15.3,23,52.2,53.4,26,27.8,NA,NA,10.8,10.2,63,5.9,9.611663580917012,1,1.4299999475479126,0.12,11.95,-0.7316666666666667,3.858880043029785,224.97999572753906,59.70000076293945,32.29999923706055,20.899999618530273,46.79999923706055,44.5,6.099999904632568,49.400001525878906,4.10663605,0.5340100186297565,34,1,24.1,-1.04,0.3376025766110935,NA,NA,Ottoman-Persian,6.40809440612793,8,0.23924567465218916,0.29,0.29924876638431097,0.6040421724319458,2.039920159680639,-0.525
Bahamas,BHS,Latin America and Caribbean,12.832545692822126,23.8,37.6,59.6,67.7,27,28.7,NA,NA,11.1,11.4,55,5,10.420553663891573,NA,15.600000381469727,0.79,24.85,0.7466666666666666,8.453929901123047,229.22000122070312,68,5.599999904632568,21.700000762939453,72.30000305175781,1.7999999523162842,4.099999904632568,93.69999694824219,5.20896244,0.8406398925930241,NA,NA,NA,NA,NA,NA,NA,Latin America,6.216385364532471,15,0.3079811309301341,-0.51,0.1371,NA,NA,NA
Bahrain,BHR,Middle East and North Africa,14.131672938670619,24.9,36.4,63.4,68.1,24.8,24.8,NA,NA,9.3,9.3,69,5.1,10.729547184215814,NA,NA,1.5,27.15,-0.07333333333333335,NA,NA,77.69999694824219,1.2999999523162842,42.099998474121094,55.29999923706055,0,9,89.69999694824219,4.97506618,0.8861801675252274,35,8,NA,NA,0.3740810920833331,NA,NA,Arab,7.988147258758545,7,0.12634970380670732,0.15,NA,NA,NA,NA
Bangladesh,BGD,South Asia,18.867008082571306,2.1,4.7,17.4,21.5,21.3,21.8,NA,NA,6.5,5.1,51,7.2,8.176391596633795,14,266.6000061035156,NA,25,-0.8166666666666667,1.6195900440216064,55.14999961853027,53,NA,NA,NA,NA,NA,NA,2.46311474,0.27894000556041276,48,2,4.2,-0.62,0.3603034549500197,NA,20,South Asia,5.988420963287354,9,0.12454497159630097,0.66,0.31960130177593216,0.025440650060772896,NA,-1.52
Barbados,BRB,Latin America and Caribbean,12.561391169947747,14.2,30.7,44,59.2,26.3,29.2,NA,NA,10.2,10.8,61,5.1,9.64930472862475,4.3,18.209999084472656,NA,26,1.07,6.880489826202393,123.52999877929687,68.5,3.799999952316284,29.799999237060547,66.4000015258789,1.899999976158142,8.899999618530273,89.19999694824219,6.7748456,0.43888999843079074,13,2,NA,NA,NA,NA,NA,Latin America,6.678704738616943,15,0.29682826626079467,-0.15,0.1371,NA,NA,NA
Belarus,BLR,Europe and Central Asia,16.062696676631802,21.6,26,62,56.1,26.4,26.6,NA,NA,12.3,12.1,66,5.2,9.800402224452803,1,2.880000114440918,0.15,6.15,-0.66,6.764309883117676,216.92000198364258,47.900001525878906,13.100000381469727,43.29999923706055,37.400001525878906,7.800000190734863,24,62.5,6.06533337,0.7461500526870389,50,11,42.1,-0.51,0.39492091691078446,NA,NA,Central Asia,NA,5,0.3386280816871584,-0.78,0.42529064893896756,0,2.5310026385224274,0.255
Belgium,BEL,Europe and Central Asia,16.238027132606476,22.6,20.7,67.2,51.2,26.6,25.6,63.183877978367484,110,11.9,11.5,90,3.2,10.741016422769802,1,9.569999694824219,0.65,9.55,1.305,6.227700233459473,178.43000030517578,70.19999694824219,1.7000000476837158,34.29999923706055,63.900001525878906,0.8999999761581421,10.100000381469727,89,10.42703342,0.9745599731854716,31,23,56.2,1.5,0.4488561262025556,1.04,75,North Europe and Anglo,8.207639694213867,15,0.6415937979709667,-0.78,0.48874804071773825,0,NA,0.2
Belize,BLZ,Latin America and Caribbean,12.796428230152902,16,30.9,47.4,60.7,27.4,30.4,NA,NA,9.5,9.6,57,6.2,8.887928819003305,7.7,40.20000076293945,NA,25.3,-0.24333333333333335,4.209380149841309,213.05999374389648,63.79999923706055,NA,NA,NA,NA,NA,NA,5.81823015,0.4496313938981513,22,2,NA,NA,NA,NA,NA,Latin America,6.280452728271484,13,0.28658914038099637,0.28,0.4071,0.12093742936849594,NA,NA
Benin,BEN,Sub-Saharan Africa,16.174094248026304,4.5,13.7,20.7,36.6,22.5,24.4,NA,NA,4.7,2.1,49,7.5,7.967973179662935,7.3,77.44000244140625,NA,27.55,-0.33,2.1763999462127686,103.29999923706055,NA,NA,NA,NA,NA,NA,NA,2.90741515,NA,NA,NA,NA,NA,NA,NA,NA,Africa,5.639202117919922,10,0.06153756752144855,1.07,0.14891104468085106,0.029197288677096367,NA,NA
Bhutan,BTN,South Asia,13.49789834766775,4.4,8.1,24.4,28.8,23.4,24.4,NA,NA,4.2,2.6,41,6.9,9.15915233520675,NA,NA,NA,7.4,0.36333333333333334,NA,NA,57.599998474121094,54,6.800000190734863,39.20000076293945,65.30000305175781,6.699999809265137,28,3.65720773,0.34793057707838465,NA,NA,NA,NA,NA,NA,NA,South Asia,NA,8,0.10045177625541162,0.27,0.35060256409855717,0,NA,NA
